Time,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
14.1,-0.2324,0.56,0.5649,0.3453,0.4727,0.409,0.2049,0.7314,0.4681,0.571,0.5188,0.5449
14.2,-0.2385,0.5805,0.5991,0.3835,0.4847,0.4341,0.1951,0.7779,0.4865,0.5911,0.5542,0.5727
14.3,-0.24,0.6018,0.6388,0.4291,0.501,0.465,0.188,0.8227,0.5053,0.6132,0.592,0.6026
14.4,-0.2365,0.6229,0.6808,0.48,0.5204,0.5002,0.184,0.8635,0.5238,0.6363,0.6304,0.6333
14.5,-0.228,0.6431,0.7221,0.5341,0.5419,0.538,0.184,0.899,0.5415,0.6596,0.6677,0.6636
14.6,-0.2139,0.6619,0.7605,0.5892,0.5651,0.5771,0.1887,0.9283,0.5585,0.6834,0.7021,0.6928
14.7,-0.1947,0.6789,0.7945,0.643,0.5896,0.6163,0.1993,0.9512,0.5753,0.7084,0.7332,0.7208
14.8,-0.1714,0.694,0.8225,0.6941,0.6151,0.6546,0.2172,0.9674,0.5923,0.7352,0.7609,0.748
14.9,-0.1448,0.7074,0.8433,0.7421,0.6405,0.6913,0.2435,0.9763,0.6099,0.7632,0.7857,0.7744
15,-0.1143,0.7198,0.856,0.7871,0.6646,0.7259,0.2792,0.9775,0.6284,0.7914,0.8075,0.7994
15.1,-0.0786,0.7309,0.861,0.8287,0.686,0.7573,0.3235,0.9711,0.6473,0.8188,0.8263,0.8226
15.2,-0.0375,0.74,0.859,0.8654,0.7026,0.784,0.3737,0.9572,0.6655,0.8451,0.8425,0.8438
15.3,0.008,0.746,0.8507,0.895,0.7127,0.8039,0.4251,0.936,0.6805,0.8696,0.8566,0.8631
15.4,0.0557,0.748,0.8366,0.9154,0.7158,0.8156,0.4727,0.9079,0.6903,0.8914,0.8693,0.8803
15.5,0.1033,0.7465,0.8166,0.9264,0.7122,0.8193,0.5132,0.8742,0.6937,0.9086,0.8807,0.8946
15.6,0.1489,0.7425,0.7909,0.9292,0.7034,0.8163,0.5454,0.8364,0.6909,0.9196,0.8904,0.905
15.7,0.1911,0.7372,0.7603,0.9257,0.6907,0.8082,0.5694,0.7968,0.6831,0.9232,0.8984,0.9108
15.8,0.2287,0.7313,0.7265,0.9176,0.6754,0.7965,0.5868,0.7582,0.6725,0.9186,0.9046,0.9116
15.9,0.2607,0.7252,0.6914,0.9064,0.6588,0.7826,0.5991,0.7233,0.6612,0.9059,0.9092,0.9075
16,0.2865,0.7189,0.6565,0.8934,0.6425,0.768,0.608,0.6936,0.6508,0.8853,0.912,0.8987
16.1,0.3068,0.7125,0.6223,0.8796,0.6277,0.7537,0.6145,0.6693,0.6419,0.8574,0.9124,0.8849
16.2,0.322,0.7058,0.5891,0.8658,0.6148,0.7403,0.6195,0.6498,0.6346,0.8226,0.9097,0.8661
16.3,0.333,0.6992,0.557,0.8524,0.6035,0.7279,0.6232,0.6345,0.6288,0.7819,0.9035,0.8427
16.4,0.3396,0.6925,0.5265,0.8392,0.5932,0.7162,0.6254,0.6233,0.6243,0.7372,0.8942,0.8157
